iter	Passed	Remaining
0	310	372813
1	455	272768
2	587	234351
3	710	212452
4	833	199312
5	962	191468
6	1107	188779
7	1255	187130
8	1384	183231
9	1504	178978
10	1623	175441
11	1742	172540
12	1873	171043
13	1995	169088
14	2112	166887
15	2236	165529
16	2354	163876
17	2474	162467
18	2588	160916
19	2708	159823
20	2830	158884
21	2954	158222
22	3080	157645
23	3208	157214
24	3333	156668
25	3475	156954
26	3596	156241
27	3715	155533
28	3840	155057
29	3961	154504
30	4079	153851
31	4209	153653
32	4335	153314
33	4457	152864
34	4580	152463
35	4731	152973
36	4821	151563
37	4950	151391
38	5073	151028
39	5195	150663
40	5318	150336
41	5429	149687
42	5546	149233
43	5676	149128
44	5795	148754
45	5917	148452
46	6046	148338
47	6178	148277
48	6296	147913
49	6418	147625
50	6534	147226
51	6612	145978
52	6728	145606
53	6843	145227
54	6965	145009
55	7086	144758
56	7214	144671
57	7337	144470
58	7451	144112
59	7570	143846
60	7694	143668
61	7810	143351
62	7932	143165
63	8048	142858
64	8170	142673
65	8290	142452
66	8327	140816
67	8450	140677
68	8570	140481
69	8685	140208
70	8801	139955
71	8919	139745
72	9047	139674
73	9179	139670
74	9315	139737
75	9443	139667
76	9535	139072
77	9672	139130
78	9800	139061
79	9967	139542
80	10123	139854
81	10273	140067
82	10469	140897
83	10630	141230
84	10736	140839
85	10936	141669
86	11071	141640
87	11265	142359
88	11444	142858
89	11585	142890
90	11630	141732
91	11757	141601
92	11788	140326
93	11931	140382
94	12055	140227
95	12181	140084
96	12314	140034
97	12441	139900
98	12575	139854
99	12714	139862
100	12836	139673
101	12948	139388
102	13084	139354
103	13225	139377
104	13351	139236
105	13470	139021
106	13599	138922
107	13728	138809
108	13867	138806
109	13925	137990
110	14066	137999
111	14195	137902
112	14331	137862
113	14456	137718
114	14575	137512
115	14617	136594
116	14726	136317
117	14762	135361
118	14820	134628
119	14892	134036
120	15020	133947
121	15146	133836
122	15266	133672
123	15393	133574
124	15523	133502
125	15645	133360
126	15761	133169
127	15878	132984
128	16002	132855
129	16041	132029
130	16145	131755
131	16257	131541
132	16369	131328
133	16413	130573
134	16455	129817
135	16479	128931
136	16586	128694
137	16700	128520
138	16749	127850
139	16871	127744
140	16910	127006
141	17025	126854
142	17140	126693
143	17251	126510
144	17375	126425
145	17488	126249
146	17602	126089
147	17719	125954
148	17845	125878
149	17909	125365
150	18029	125248
151	18145	125110
152	18276	125067
153	18395	124945
154	18515	124827
155	18563	124233
156	18679	124091
157	18804	124014
158	18920	123877
159	19035	123732
160	19154	123611
161	19265	123440
162	19374	123258
163	19482	123071
164	19601	122956
165	19719	122833
166	19841	122729
167	19872	122074
168	19991	121957
169	20106	121818
170	20239	121793
171	20358	121678
172	20476	121555
173	20599	121467
174	20719	121359
175	20792	120976
176	20910	120855
177	21021	120694
178	21135	120555
179	21208	120183
180	21321	120037
181	21436	119901
182	21552	119777
183	21663	119619
184	21763	119404
185	21886	119314
186	22004	119201
187	22045	118670
188	22158	118532
189	22283	118454
190	22394	118306
191	22523	118248
192	22644	118150
193	22764	118049
194	22886	117954
195	23010	117869
196	23134	117788
197	23250	117662
198	23400	117708
199	23533	117669
200	23583	117213
201	23738	117283
202	23881	117289
203	24005	117204
204	24120	117074
205	24249	117010
206	24388	116993
207	24517	116927
208	24650	116883
209	24775	116799
210	24899	116711
211	25019	116599
212	25137	116481
213	25266	116412
214	25381	116281
215	25501	116173
216	25622	116069
217	25733	115916
218	25848	115786
219	25968	115678
220	26093	115591
221	26212	115476
222	26345	115423
223	26488	115414
224	26603	115282
225	26722	115168
226	26852	115098
227	26977	115010
228	27096	114895
229	27221	114803
230	27335	114668
231	27461	114580
232	27599	114542
233	27713	114407
234	27846	114346
235	27969	114248
236	28093	114150
237	28215	114046
238	28331	113917
239	28443	113775
240	28554	113626
241	28673	113510
242	28791	113388
243	28910	113270
244	29031	113163
245	29150	113045
246	29265	112916
247	29382	112792
248	29501	112674
249	29624	112574
250	29751	112487
251	29873	112380
252	30000	112296
253	30120	112179
254	30235	112048
255	30361	111957
256	30481	111844
257	30592	111697
258	30707	111566
259	30830	111463
260	30951	111355
261	31075	111256
262	31183	111098
263	31302	110983
264	31421	110864
265	31542	110755
266	31668	110663
267	31797	110578
268	31914	110454
269	32034	110341
270	32157	110237
271	32277	110121
272	32396	110006
273	32510	109871
274	32628	109749
275	32754	109657
276	32880	109561
